date,sales,temperature,is_holiday,promotion,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5
2010/2/5,24924.5,42.31,0,0,NA,NA,NA,NA,NA
2010/2/12,46039.49,38.51,1,0,NA,NA,NA,NA,NA
2010/2/19,41595.55,39.93,0,0,NA,NA,NA,NA,NA
2010/2/26,19403.54,46.63,0,0,NA,NA,NA,NA,NA
2010/3/5,21827.9,46.5,0,0,NA,NA,NA,NA,NA
2010/3/12,21043.39,57.79,0,0,NA,NA,NA,NA,NA
2010/3/19,22136.64,54.58,0,0,NA,NA,NA,NA,NA
2010/3/26,26229.21,51.45,0,0,NA,NA,NA,NA,NA
2010/4/2,57258.43,62.27,0,0,NA,NA,NA,NA,NA
2010/4/9,42960.91,65.86,0,0,NA,NA,NA,NA,NA
2010/4/16,17596.96,66.32,0,0,NA,NA,NA,NA,NA
2010/4/23,16145.35,64.84,0,0,NA,NA,NA,NA,NA
2010/4/30,16555.11,67.41,0,0,NA,NA,NA,NA,NA
2010/5/7,17413.94,72.55,0,0,NA,NA,NA,NA,NA
2010/5/14,18926.74,74.78,0,0,NA,NA,NA,NA,NA
2010/5/21,14773.04,76.44,0,0,NA,NA,NA,NA,NA
2010/5/28,15580.43,80.44,0,0,NA,NA,NA,NA,NA
2010/6/4,17558.09,80.69,0,0,NA,NA,NA,NA,NA
2010/6/11,16637.62,80.43,0,0,NA,NA,NA,NA,NA
2010/6/18,16216.27,84.11,0,0,NA,NA,NA,NA,NA
2010/6/25,16328.72,84.34,0,0,NA,NA,NA,NA,NA
2010/7/2,16333.14,80.91,0,0,NA,NA,NA,NA,NA
2010/7/9,17688.76,80.48,0,0,NA,NA,NA,NA,NA
2010/7/16,17150.84,83.15,0,0,NA,NA,NA,NA,NA
2010/7/23,15360.45,83.36,0,0,NA,NA,NA,NA,NA
2010/7/30,15381.82,81.84,0,0,NA,NA,NA,NA,NA
2010/8/6,17508.41,87.16,0,0,NA,NA,NA,NA,NA
2010/8/13,15536.4,87,0,0,NA,NA,NA,NA,NA
2010/8/20,15740.13,86.65,0,0,NA,NA,NA,NA,NA
2010/8/27,15793.87,85.22,0,0,NA,NA,NA,NA,NA
2010/9/3,16241.78,81.21,0,0,NA,NA,NA,NA,NA
2010/9/10,18194.74,78.69,1,0,NA,NA,NA,NA,NA
2010/9/17,19354.23,82.11,0,0,NA,NA,NA,NA,NA
2010/9/24,18122.52,80.94,0,0,NA,NA,NA,NA,NA
2010/10/1,20094.19,71.89,0,0,NA,NA,NA,NA,NA
2010/10/8,23388.03,63.93,0,0,NA,NA,NA,NA,NA
2010/10/15,26978.34,67.18,0,0,NA,NA,NA,NA,NA
2010/10/22,25543.04,69.86,0,0,NA,NA,NA,NA,NA
2010/10/29,38640.93,69.64,0,0,NA,NA,NA,NA,NA
2010/11/5,34238.88,58.74,0,0,NA,NA,NA,NA,NA
2010/11/12,19549.39,59.61,0,0,NA,NA,NA,NA,NA
2010/11/19,19552.84,51.41,0,0,NA,NA,NA,NA,NA
2010/11/26,18820.29,64.52,1,0,NA,NA,NA,NA,NA
2010/12/3,22517.56,49.27,0,0,NA,NA,NA,NA,NA
2010/12/10,31497.65,46.33,0,0,NA,NA,NA,NA,NA
2010/12/17,44912.86,49.84,0,0,NA,NA,NA,NA,NA
2010/12/24,55931.23,52.33,0,0,NA,NA,NA,NA,NA
2010/12/31,19124.58,48.43,1,0,NA,NA,NA,NA,NA
2011/1/7,15984.24,48.27,0,0,NA,NA,NA,NA,NA
2011/1/14,17359.7,35.4,0,0,NA,NA,NA,NA,NA
2011/1/21,17341.47,44.04,0,0,NA,NA,NA,NA,NA
2011/1/28,18461.18,43.83,0,0,NA,NA,NA,NA,NA
2011/2/4,21665.76,42.27,0,0,NA,NA,NA,NA,NA
2011/2/11,37887.17,36.39,1,0,NA,NA,NA,NA,NA
2011/2/18,46845.87,57.36,0,0,NA,NA,NA,NA,NA
2011/2/25,19363.83,62.9,0,0,NA,NA,NA,NA,NA
2011/3/4,20327.61,59.58,0,0,NA,NA,NA,NA,NA
2011/3/11,21280.4,53.56,0,0,NA,NA,NA,NA,NA
2011/3/18,20334.23,62.76,0,0,NA,NA,NA,NA,NA
2011/3/25,20881.1,69.97,0,0,NA,NA,NA,NA,NA
2011/4/1,20398.09,59.17,0,0,NA,NA,NA,NA,NA
2011/4/8,23873.79,67.84,0,0,NA,NA,NA,NA,NA
2011/4/15,28762.37,71.27,0,0,NA,NA,NA,NA,NA
2011/4/22,50510.31,72.99,0,0,NA,NA,NA,NA,NA
2011/4/29,41512.39,72.03,0,0,NA,NA,NA,NA,NA
2011/5/6,20138.19,64.61,0,0,NA,NA,NA,NA,NA
2011/5/13,17235.15,75.64,0,0,NA,NA,NA,NA,NA
2011/5/20,15136.78,67.63,0,0,NA,NA,NA,NA,NA
2011/5/27,15741.6,77.72,0,0,NA,NA,NA,NA,NA
2011/6/3,16434.15,83,0,0,NA,NA,NA,NA,NA
2011/6/10,15883.52,83.13,0,0,NA,NA,NA,NA,NA
2011/6/17,14978.09,86.41,0,0,NA,NA,NA,NA,NA
2011/6/24,15682.81,83.58,0,0,NA,NA,NA,NA,NA
2011/7/1,15363.5,85.55,0,0,NA,NA,NA,NA,NA
2011/7/8,16148.87,85.83,0,0,NA,NA,NA,NA,NA
2011/7/15,15654.85,88.54,0,0,NA,NA,NA,NA,NA
2011/7/22,15766.6,85.77,0,0,NA,NA,NA,NA,NA
2011/7/29,15922.41,86.83,0,0,NA,NA,NA,NA,NA
